,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
eyes+eyebrows,,-0.0758709363633,0.390415944378,-0.0155162109618,0.0468266412011,-0.255304315073,0.19395556777,0.033259676298,-0.0344587720623,0.0950514838978,-0.0739602920992,-0.214516533706,-0.0444923786344
mouth+chin,,-0.112291953669,-0.29241623711,0.0113237578865,0.084570853623,0.24731663642,-0.210381738058,-0.136063682293,0.0325138462159,-0.0897729156627,-0.045634160102,0.0897280630632,-0.319028235248
nose+cheeks,,0.22867144282,-0.0281549790372,0.0101913670887,-0.156755876844,-0.0449223138757,0.0753560348899,0.141599471377,-0.0199172437658,0.000825252539699,0.136471283973,0.0965949924609,0.44599573867
forehead,,-0.0161690416691,-0.188720567928,0.0653544623233,0.234194011739,0.0444210844124,-0.310226693732,-0.114053189702,0.125788651357,-0.100587029167,-0.192496665474,0.0351645677989,0.129099444874
Most common pattern,,,,,,,,,,,,,
Most common consistency,,-0.0750109359125,-0.168173407733,0.276133685573,0.26516065704,0.263127559826,-0.195068677947,0.171490896519,-0.102717974525,-0.0957314364259,-0.212436810506,-0.0251472021956,-0.207134390428
General consistency,,-0.101522413337,-0.182393906418,0.21004811814,0.170137995152,0.285313253975,-0.181222100999,0.143047728514,0.0119061786538,-0.0918708143967,-0.173638501219,0.0325577939167,-0.196939267679
