,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
eyes+eyebrows,,0.0732878419862,0.609016443216,0.039787534752,0.0881309843925,-0.127967934686,0.358795357923,0.185922107292,-0.230105768559,0.29527332801,0.159045003266,-0.40392079002,0.0588593703906
forehead,,-0.0527687954285,-0.0859537875395,0.278907438973,0.0538130238633,-0.0561603202814,0.0845046685529,0.337579789028,0.0191315395592,-0.0357619579822,-0.197740368068,-0.0395040454625,0.3072549339
mouth+chin,,-0.193559719467,-0.287048903674,0.00455854942076,0.0771872757626,0.0954219142476,-0.207322314109,-0.223665998855,0.0951074438834,-0.197139388204,-0.034613574361,0.249598462947,-0.34617421405
nose+cheeks,,0.149677539585,-0.240512905584,-0.0166832736783,-0.212760776953,0.0190682180639,-0.128332628317,0.0847378516184,0.130623054686,-0.0204537519894,-0.113479731223,0.0624716725487,0.370204006435
none,,0.162385862553,-0.244159680694,-0.196660871455,-0.0309062960744,-0.0685693029088,0.0587606054101,-0.0799105502476,0.131980488424,-0.234337616408,0.0772744002681,0.308590957496,0.0969762275753
Most common pattern,,,,,,,,,,,,,
Most common consistency,,-0.267891049743,-0.332918723799,0.151301084139,0.0213429391031,0.264498176151,-0.367725854246,-0.0798730127569,0.372154598054,-0.104808748374,-0.250280506378,0.142043828982,-0.0332488024801
General consistency,,-0.291785283689,-0.337449154051,0.173565147274,-0.031426403559,0.238542216352,-0.355640443484,-0.149291706615,0.404050683534,-0.0701028090785,-0.215477303433,0.139593731812,-0.0973240551324
