,id,gender,E,A,C,N,I,age,height,FB friends,whatsapp private week,self statement ,friend statement
Participant,,,,,,,,,,,,,
"eyes+eyebrows, mouth+chin",,0.090994393907,0.424967387869,-0.255335786972,-0.185155480933,-0.147084449875,0.138346942145,0.00924002920889,-0.188217249903,0.441421651898,0.240976777598,-0.353578811525,0.14577325827
"eyes+eyebrows, none",,-0.00678853031858,0.442888757252,0.111458623986,0.170347920099,-0.11274550965,0.395611400819,0.0597142135698,-0.0784070879889,0.0452883737962,0.082797774726,-0.271890438963,-0.171285083832
"forehead, nose+cheeks",,-0.305624922751,-0.151042845292,-0.113217336001,-0.134647483305,0.188312975791,-0.0233919667067,0.517549169507,0.301689055325,-0.0815087361418,-0.392985240529,0.174963553056,0.418717894679
"mouth+chin, eyes+eyebrows",,0.0273047365137,0.12778247097,-0.167618559589,-0.0443587697353,-0.358252408484,0.0647854760441,-0.231190957516,-0.213295547182,-0.0269908224956,0.00680598551569,-0.0877761080746,-0.336676849401
"mouth+chin, nose+cheeks",,-0.0648597941483,-0.341363170727,0.132558954814,0.00744878086557,0.0968293460793,-0.141688625286,-0.0947122797444,0.171763053175,-0.0657290703239,0.0683689375486,0.262833956889,-0.218931449065
"nose+cheeks, eyes+eyebrows",,0.14509183197,-0.01751036198,-0.0927171530358,-0.183098118392,-0.14433655121,-0.0313500738216,-0.199184850733,-0.0166422271139,0.127799943714,0.0995511609704,0.103957612805,0.0338411805402
"nose+cheeks, mouth+chin",,0.0880049383156,-0.333658534726,0.0884231977757,-0.00126500276168,0.121994440734,-0.171802410818,0.257821186164,0.0969550026364,-0.214639928714,-0.297134607374,0.0289391329496,0.440588114793
"mouth+chin, none",,-0.233950562916,-0.17426071961,0.0165506522603,0.13848024379,0.334886013192,-0.195455306296,-0.00444112963805,0.156911088503,-0.204106939354,-0.121963315017,0.173062438606,0.0377270332885
"nose+cheeks, none",,-0.433144479338,0.20818205597,0.0352859609574,-0.0791405218613,0.33279439839,0.248168704099,0.50182946274,0.417591100198,0.162830335596,0.0880723818193,-0.29873032828,-0.0794347876391
"eyes+eyebrows, nose+cheeks",,0.0288898062086,0.133743481916,0.151219209642,0.0976488442612,0.0197131277473,0.0325954640385,0.327631621909,-0.126777608596,0.123703211292,-0.0709586728562,-0.0176953372769,0.265067033316
"eyes+eyebrows, forehead",,0.220932147428,0.260311487355,-0.0382235145374,-0.0420491922969,0.097098948695,-0.107161713805,-0.181202242515,-0.254676417228,0.0719268100395,0.19257085561,-0.343513427385,-0.0439799497134
"forehead, eyes+eyebrows",,0.233713176221,0.0339075775145,0.493304106862,0.207982273319,-0.26484659162,0.138552418186,-0.0575054632785,-0.275617161655,0.0157845731571,0.123894683131,-0.228798492458,-3.87391872913e-18
"mouth+chin, forehead",,0.162385862553,0.119938088762,0.0730454665404,-0.0309062960744,0.183317932266,-0.0912664722327,-0.159821100495,-0.204440364421,-0.133470555432,0.0247519563359,-0.252483510678,-0.0969762275753
"nose+cheeks, forehead",,0.162385862553,0.119938088762,0.0730454665404,-0.0309062960744,0.183317932266,-0.0912664722327,-0.159821100495,-0.204440364421,-0.133470555432,0.0247519563359,-0.252483510678,-0.0969762275753
"none, none",,0.162385862553,-0.244159680694,-0.196660871455,-0.0309062960744,-0.0685693029088,0.0587606054101,-0.0799105502476,0.131980488424,-0.234337616408,0.0772744002681,0.308590957496,0.0969762275753
Most common pattern,,,,,,,,,,,,,
Most common consistency,,-0.212188571583,-0.233290866123,0.208945040091,0.229350101374,0.0251480478636,-0.172867588211,-0.0701460600206,0.3098661096,0.00673495005904,-0.00823961798181,0.17716115728,0.108512818538
General consistency,,-0.180433267601,-0.207219724033,0.196589743429,0.234968201738,0.00795854924491,-0.263241034237,-0.098731078369,0.284982571339,-0.00839672783119,0.0171895101851,0.188683671639,0.0133605660952
