,Participant,Stimulus,1st Region,2nd Region,3rd Region,length
67,2,color_q11.avi,eyes+eyebrows,none,none,1.0
68,2,color_q21.avi,eyes+eyebrows,none,none,1.0
69,2,concerts_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
70,2,concerts_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
71,2,concerts_q31.avi,mouth+chin,eyes+eyebrows,none,2.0
72,2,date_birth_q11.avi,eyes+eyebrows,none,none,1.0
73,2,date_birth_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
74,2,date_birth_q3.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
75,2,extrovertism_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
76,2,extrovertism_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
77,2,flight_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
78,2,flight_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
79,2,food_q11.avi,eyes+eyebrows,none,none,1.0
80,2,food_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
81,2,last_hour_q11.avi,nose+cheeks,none,none,1.0
82,2,last_hour_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
83,2,movies_q11.avi,nose+cheeks,eyes+eyebrows,forehead,3.0
84,2,movies_q21.avi,eyes+eyebrows,none,none,1.0
85,2,movies_q31.avi,mouth+chin,eyes+eyebrows,forehead,3.0
86,2,movies_q4.avi,nose+cheeks,eyes+eyebrows,none,2.0
87,2,music_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
88,2,music_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
89,2,music_q31.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
90,2,pets_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
91,2,pets_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
92,2,smartphone_q1.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
93,2,sports_q11.avi,eyes+eyebrows,none,none,1.0
94,2,sports_q21.avi,eyes+eyebrows,none,none,1.0
95,2,sports_q31.avi,nose+cheeks,eyes+eyebrows,none,2.0
96,2,theatre_q1.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
97,2,theatre_q2.avi,eyes+eyebrows,none,none,1.0
98,2,tv_q11.avi,eyes+eyebrows,none,none,1.0
99,2,tv_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
100,2,university_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
101,2,university_q22.avi,mouth+chin,eyes+eyebrows,none,2.0
102,2,university_q31.avi,mouth+chin,eyes+eyebrows,none,2.0
103,4,birth_city_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
104,4,birth_city_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
105,4,birth_city_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
106,4,books_q11.avi,eyes+eyebrows,nose+cheeks,none,2.0
107,4,books_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
108,4,books_q31.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
109,4,cars_q11.avi,eyes+eyebrows,mouth+chin,nose+cheeks,3.0
110,4,cars_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
111,4,cars_q31.avi,eyes+eyebrows,mouth+chin,nose+cheeks,3.0
